STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T05:00:00,19.9,44.1,33.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T06:00:00,19,44.1,33.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T07:00:00,19,44.1,33
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T08:00:00,19.9,45,33.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T09:00:00,21,45,33.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T10:00:00,21.9,46,34.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T11:00:00,23,46.9,35.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T12:00:00,24.1,48,36.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T13:00:00,25,48.9,37.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T14:00:00,26.1,50,38.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T15:00:00,26.1,50,38.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T16:00:00,26.1,50,38.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T17:00:00,25,48.9,37.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T18:00:00,25,48,37
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T19:00:00,25,48,36.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T20:00:00,24.1,48,36.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T21:00:00,23,48,35.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T22:00:00,21.9,46.9,35.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-03T23:00:00,21.9,46.9,34.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T00:00:00,21,45,33.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T01:00:00,21,46,34.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T02:00:00,21,45,33.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T03:00:00,19.9,45,33.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T04:00:00,19.9,45,33.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T05:00:00,19.9,44.1,33.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T06:00:00,19,44.1,33
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T07:00:00,19,45,32.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T08:00:00,19,45,33.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T09:00:00,21,46,33.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T10:00:00,21.9,46,34.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T11:00:00,23,48,35.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T12:00:00,24.1,48,36.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T13:00:00,25,48.9,37.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T14:00:00,25,50,38.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T15:00:00,26.1,50,38.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T16:00:00,26.1,50,38.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T17:00:00,25,48.9,37.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T18:00:00,25,48.9,36.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T19:00:00,24.1,48,36.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T20:00:00,24.1,48.9,36
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T21:00:00,23,48,35.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T22:00:00,21.9,48,35.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-04T23:00:00,21.9,46.9,34.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T00:00:00,21,45,33.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T01:00:00,21,46,33.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T02:00:00,19.9,45,33.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T03:00:00,19.9,45,33.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T04:00:00,19.9,45,33.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T05:00:00,19.9,44.1,32.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T06:00:00,19,44.1,32.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T07:00:00,19,44.1,32.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T08:00:00,19,45,32.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T09:00:00,19.9,45,33.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T10:00:00,21,46,34.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T11:00:00,21.9,46.9,35.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T12:00:00,24.1,46.9,36.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T13:00:00,24.1,48.9,37.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T14:00:00,25,50,37.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T15:00:00,26.1,50,38.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T16:00:00,26.1,50,37.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T17:00:00,25,48.9,37.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T18:00:00,25,48,36.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T19:00:00,24.1,48,36.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T20:00:00,24.1,48,35.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T21:00:00,23,48,35.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T22:00:00,21.9,46.9,34.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-05T23:00:00,21,46.9,34.4
